Car Names,Mileages,Ratings,Reviews,used/certified,Price
2020 Tesla Model Y Long Range,"68,762 mi.",2.2,(12 reviews),Used,"$67,997.00"
2018 BMW 530e xDrive iPerformance,"16,500 mi.",3.4,(24 reviews),Used,"$35,998.00"
2019 Honda CR-V EX-L,"56,158 mi.",4.8,"(1,862 reviews)",Used,"$25,999.00"
2017 Lexus RX 350 350,"24,000 mi.",4.8,"(4,891 reviews)",Used,"$36,799.00"
2021 Mercedes-Benz S-Class S 580 4MATIC,"68,291 mi.",4.8,"(2,800 reviews)",Mercedes-Benz Certified,"$126,883.00"
2019 Honda CR-V EX-L,"5,559 mi.",3.9,(67 reviews),Used,"$32,997.00"
2017 Subaru Forester 2.5i,"12,996 mi.",4.8,"(4,636 reviews)",Used,"$14,991.00"
2021 Mercedes-Benz C-Class C 300 4MATIC,"76,782 mi.",3.6,(21 reviews),Mercedes-Benz Certified,"$43,625.00"
2017 Honda Accord LX,"9,787 mi.",4.8,(86 reviews),Used,"$21,998.00"
2019 BMW X5 xDrive40i,"77,551 mi.",4.9,"(4,050 reviews)",Used,"$58,242.00"
2019 Ford F-150 Lariat,"11,227 mi.",3.9,(39 reviews),Ford Certified,"$51,999.00"
2020 Hyundai Palisade Limited,"18,621 mi.",3.7,(144 reviews),Used,"$51,498.00"
2019 Tesla Model 3 Long Range,"10,046 mi.",4.3,"(1,341 reviews)",Used,"$47,495.00"
2020 Alfa Romeo Giulia Ti,"32,109 mi.",4.0,(8 reviews),Used,"$38,480.00"
2021 Acura RDX A-Spec,"17,159 mi.",4.7,"(1,462 reviews)",Used,"$45,500.00"
2021 Tesla Model Y Long Range,"15,341 mi.",4.0,(964 reviews),Used,"$70,995.00"
2019 Kia Forte LXS,"11,646 mi.",4.8,(777 reviews),Used,"$15,691.00"
2020 Acura MDX 3.5L w/Technology Package,"47,624 mi.",4.6,(128 reviews),Used,"$42,888.00"
2019 Mercedes-Benz GLS 450 Base 4MATIC,Mileage,4.9,"(1,520 reviews)",Used,"$46,229.00"
2019 Mercedes-Benz C-Class C 300,"73,815 mi.",4.0,(59 reviews),Mercedes-Benz Certified,"$31,431.00"
2020 Acura RDX A-Spec,"19,806 mi.",4.5,(711 reviews),Used,"$40,771.00"
